time,flux
1505.9522348208377,0.99675065
1505.9730682820216,0.9976435
1505.9939017424783,0.9973823
1506.0147352021288,0.9961767
1506.0355686610496,1.0018551
1506.056402119161,0.9937761
1506.0772355765396,0.99970365
1506.0980690331032,0.9990059
1506.1189024889334,1.0030004
1506.1397359439475,0.9976097
1506.1605693982249,1.0007621
1506.1814028516849,0.9956599
1506.2022363044032,0.998617
1506.2230697563043,1.0028775
1506.243903207464,0.9977208
1506.264736657802,0.9998314
1506.2855701073968,1.0005715
1506.3064035561695,1.0024905
1506.3272370041987,0.9994304
1506.3480704514047,0.99610555
1506.3689038978653,1.0046247
1506.3897373434993,1.0000956
1506.4105707883887,0.9994618
1506.431404232452,0.9999355
1506.4522376757689,0.9985599
1506.4730711182588,1.00085
1506.4939045600006,1.0046238
1506.5147380009157,0.99985963
1506.5355714410855,1.0005667
1506.5564048804242,1.0042679
1506.5772383190158,0.9974247
1506.5980717567777,0.9984126
1506.6189051937934,0.99898666
1506.6397386299784,0.99804384
1506.6605720654177,0.99508154
1506.6814055000239,1.0023041
1506.7022389338845,0.9973532
1506.7230723669138,0.99883974
1506.7439057991965,1.0040675
1506.7647392306467,0.9999607
1506.7855726613511,0.9991602
1506.806406091224,0.998485
1506.8272395203514,0.9989855
1506.8480729486466,0.997486
1506.8689063761938,0.99724776
1506.8897398029112,0.9987687
1506.9105732288817,1.0030566
1506.9314066540212,0.9996274
1506.9522400784133,1.0027112
1506.973073501976,1.0014192
1506.993906924793,0.9994871
1507.0147403467784,1.0024301
1507.035573768017,0.9983362
1507.0564071884273,0.9971757
1507.077240608093,0.99871397
1507.0980740269279,1.0025905
1507.1189074450172,0.9982318
1507.1397408622736,1.001125
1507.160574278788,1.0005201
1507.181407694472,0.99843985
1507.2022411094113,0.99966794
1507.2230745235204,1.0022284
1507.243907936886,1.0038296
1507.2647413494228,0.9975226
1507.2855747612164,1.0027168
1507.3064081721789,0.9989227
1507.3272415824003,1.0016032
1507.3480749917933,0.9996293
1507.3689084004423,0.99931806
1507.3897418082631,0.99650156
1507.4105752153414,0.99947166
1507.431408621593,0.9946849
1507.4522420271023,0.99741
1507.4730754317843,1.0012789
1507.493908835723,0.9956773
1507.5147422388372,0.99939567
1507.5355756412073,0.99687177
1507.5564090427529,0.99755573
